project	site	total_screenings	screening_ineligible	pending_approval	in_progress	withdrawn__preproduct	withdrawn__postproduct	randomized	complete	date
Project 1	uvm	1	1	0	0	0	0	0	0	2020-05-12
Project 2	uvm	3	0	2	1	0	0	0	0	2020-05-12
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-12
Project 3	uvm	9	1	6	2	0	0	0	0	2020-05-12
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-13
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-13
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-13
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-13
Project 1	uvm	1	0	1	0	0	0	0	0	2020-05-14
Project 2	uvm	3	2	0	1	0	0	0	0	2020-05-14
Project 3	brown	2	0	0	2	0	0	0	0	2020-05-14
Project 3	uvm	9	6	1	2	0	0	0	0	2020-05-14
